29	719	2.0
47	434	4.0
15	1557	5.0
52	172	5.0
59	190	4.0
74	368	4.0
22	326	3.0
67	86	4.0
6	658	1.0
74	459	3.0
73	1377	3.0
70	101	3.0
12	237	5.0
35	681	5.0
11	161	5.0
60	189	5.0
83	285	2.0
21	747	3.0
85	738	4.0
71	289	3.0
93	193	4.0
66	321	3.0
67	1151	3.0
81	285	5.0
59	828	3.0
29	55	5.0
73	654	4.0
40	1139	1.0
85	81	5.0
11	37	1.0
40	654	4.0
27	225	5.0
60	149	5.0
60	190	5.0
18	216	2.0
64	302	1.0
5	1539	5.0
68	25	3.0
35	1264	5.0
67	410	2.0
87	131	4.0
62	176	5.0
13	1216	3.0
80	639	5.0
85	1078	5.0
60	187	4.0
49	443	3.0
70	194	5.0
18	157	3.0
22	125	4.0
89	326	4.0
79	245	1.0
27	404	3.0
28	1024	4.0
47	339	5.0
49	453	3.0
12	281	5.0
7	278	2.0
84	474	4.0
93	184	4.0
57	299	4.0
17	274	5.0
11	244	3.0
73	691	3.0
13	581	1.0
78	259	1.0
6	214	2.0
93	422	5.0
7	287	2.0
5	470	3.0
67	234	3.0
40	500	3.0
39	386	4.0
6	972	2.0
9	328	4.0
0	627	5.0
13	345	2.0
77	844	4.0
50	357	4.0
5	475	1.0
93	195	4.0
52	738	1.0
12	27	5.0
67	30	3.0
60	70	3.0
74	1034	3.0
31	894	2.0
67	1552	3.0
11	181	5.0
99	192	4.0
40	281	3.0
15	339	2.0
6	1027	2.0
78	507	4.0
33	229	4.0
27	566	1.0
62	78	5.0
6	565	5.0
60	819	3.0
52	96	3.0
34	741	3.0
98	268	5.0
44	510	3.0
89	410	5.0
82	192	4.0
44	22	4.0
83	345	4.0
21	870	2.0
63	268	5.0
27	272	3.0
74	187	5.0
94	631	5.0
70	499	5.0
70	520	5.0
78	271	5.0
13	590	3.0
34	147	3.0
60	832	3.0
40	379	3.0
35	687	5.0
3	1619	3.0
29	577	2.0
40	71	4.0
59	767	3.0
40	52	4.0
40	327	5.0
0	819	2.0
95	474	3.0
68	686	2.0
14	267	3.0
94	927	3.0
31	406	2.0
61	1394	4.0
70	154	2.0
13	1231	2.0
53	453	3.0
60	191	3.0
16	293	3.0
80	332	3.0
13	1219	4.0
5	767	4.0
27	634	3.0
52	167	5.0
31	281	4.0
55	321	3.0
49	46	2.0
21	284	4.0
10	287	4.0
13	174	3.0
90	244	3.0
85	28	2.0
52	110	4.0
13	454	4.0
60	0	3.0
59	195	5.0
33	449	3.0
3	1476	3.0
52	751	3.0
60	480	3.0
70	968	4.0
76	489	4.0
32	49	5.0
27	509	5.0
50	760	3.0
27	649	3.0
6	491	4.0
57	391	5.0
77	406	3.0
16	874	1.0
71	295	3.0
99	6	3.0
