user_id,movie_id,rating,timestamp
61,1276,4,888890001
4,882,3,884059196
88,286,1,880153123
28,181,5,879460785
53,105,1,891354499
19,53,1,881378040
23,642,3,880475363
4,405,5,880886919
23,174,5,891435022
21,192,1,887831567
51,752,5,891354882
53,294,3,881652535
72,38,4,879435168
4,258,3,888635455
51,763,4,879434707
51,825,3,886610565
15,274,4,881105657
1,201,5,885170476
8,655,3,879461856
12,748,2,884638469
12,185,5,875247454
61,129,4,884064631
72,1,5,888891288
21,485,5,881058146
100,428,4,888104030
83,496,2,888551853
4,371,3,881654480
63,443,3,891359354
47,720,2,891033606
43,250,3,875509832
51,264,4,888104281
4,1136,3,891500028
61,378,2,876018608
62,1371,3,879461255
91,72,3,887832012
45,282,3,888890316
51,1014,2,880474747
12,336,5,875246506
1,685,5,880332259
14,323,2,878718996
30,968,5,874728396
44,306,4,891033697
100,258,5,880182103
32,423,5,888635339
12,1401,4,891627857
6,597,5,881104481
30,117,4,891435107
48,425,5,879563102
11,127,4,888551647
50,180,5,879438233
63,399,3,875730379
4,1528,2,887686545
69,487,2,881381679
61,926,4,879435461
7,351,3,888634536
12,832,4,880474357
56,177,4,888635050
78,165,3,879481386
44,151,4,879437950
10,317,3,879535663
63,237,4,885329468
37,182,1,880383653
4,1473,2,879435168
4,1608,5,879436396
86,191,4,882385168
44,260,4,892776524
58,1012,4,884062742
61,951,3,882211464
71,64,3,892783366
28,286,3,884066016
12,275,1,881377812
21,606,1,885682477
44,1087,1,888980193
32,341,5,878854100
44,258,4,888517510
32,959,2,890588852
64,294,1,888522073
4,258,2,879438161
51,462,3,886367406
12,924,5,879561782
64,877,4,879958803
6,991,4,879958624
51,900,3,888104554
38,139,3,880382768
97,125,2,891500110
56,678,3,886185851
63,22,3,877196504
51,131,3,888523658
19,568,4,879196483
86,648,5,888888067
63,15,3,879958664
68,722,2,888104353
71,665,4,881381679
50,272,2,878854810
54,116,4,884881679
61,1163,3,891350932
63,302,3,888259984
5,124,1,880332215
50,286,4,880180979
63,735,2,876823597
51,381,3,881548110
51,209,3,888637768
61,148,2,891436297
6,286,5,888979235
51,370,2,882212609
7,122,3,881548030
86,179,3,888980193
50,77,4,886609829
6,17,4,880180897
6,455,5,879196074
68,1488,4,891192376
61,293,3,875245672
93,117,5,891353444
86,392,3,882569732
95,315,4,886608423
71,350,5,888521803
17,286,1,886179040
14,258,3,878761717
4,673,3,879461932
71,91,3,879825383
51,518,5,882213597
12,928,5,880182359
81,588,4,880177050
44,768,4,879461207
59,215,4,891283124
7,107,5,888888861
62,4,2,886367615
4,28,3,891498079
54,427,4,878719294
66,286,5,884628607
61,1251,2,879297867
78,150,5,878854441
12,183,5,891351383
7,318,5,891499440
68,751,3,879564941
100,356,2,886610523
18,866,2,888516814
8,54,3,888889268
1,290,5,880936863
4,791,4,892130809
61,289,3,891359171
91,317,4,885681982
68,435,4,888979007
56,275,5,891033420
51,1248,4,878762033
53,506,3,879562834
98,214,4,886608977
86,187,5,879442532
61,366,3,886610682
6,505,4,890181185
53,1013,5,888552084
51,749,5,875129791
51,866,5,879466479
58,1176,3,891446783
76,127,5,891359418
61,1291,5,879365169
45,739,3,877196634
6,1033,5,879990744
61,1272,4,881379954
13,496,4,881380709
23,294,1,891033370
6,450,4,890181185
26,980,4,875245406
53,1147,4,879534667
71,849,5,881548053
91,268,3,880472435
12,742,5,891283124
56,658,4,879988800
63,974,5,886186091
51,831,4,881681663
62,510,5,888103872
56,1050,4,879988800
82,323,2,880887206
61,286,5,875129882
45,186,3,892783672
61,39,4,887831567
97,269,5,888887944
61,214,4,891192748
51,25,3,880181663
51,257,1,888890052
23,805,3,888890380
2,64,2,879436396
51,271,1,886366731
53,265,3,880153406
4,901,4,888632470
41,212,4,888632443
1,1231,3,882893737
4,1469,4,886187414
13,222,4,881381679
