user_id,movie_id,rating
91,410,5
55,765,3
74,339,3
63,273,3
85,518,3
6,586,2
61,687,1
71,102,5
50,168,5
28,961,2
25,328,1
1,324,4
62,930,3
61,130,3
37,51,5
60,176,2
58,458,4
47,974,1
86,525,1
55,364,5
95,42,1
90,197,5
40,663,3
75,833,2
78,166,5
51,1017,1
30,82,3
4,92,4
61,369,1
85,175,4
28,1107,3
58,1608,2
28,1121,4
25,429,4
41,933,2
92,526,3
18,631,3
91,811,5
33,696,1
10,66,2
57,496,4
76,495,1
41,446,4
61,665,3
28,100,1
77,198,3
97,710,5
41,651,5
59,279,5
69,101,4
83,894,2
56,291,5
50,450,5
73,344,5
32,32,4
84,58,3
24,1590,4
50,638,3
90,658,1
18,672,3
75,306,5
92,449,2
40,289,5
51,770,4
2,1206,3
12,530,4
2,544,3
41,1147,4
46,238,4
74,405,4
78,507,4
61,465,5
60,150,3
78,23,1
25,414,4
28,211,2
96,259,5
100,264,5
69,556,4
55,132,3
28,1434,5
25,123,2
86,577,4
81,1169,5
3,1007,4
14,221,5
93,435,4
61,345,2
93,328,3
74,19,2
15,318,3
24,923,4
6,746,3
46,937,4
45,620,4
51,123,2
16,885,5
36,1197,4
97,14,3
68,174,4
9,1600,2
4,233,1
26,87,2
40,773,4
56,39,4
57,282,5
48,284,1
32,19,3
48,489,3
60,1589,4
41,449,3
26,1514,5
97,276,2
74,1380,1
41,577,5
88,214,5
7,137,4
83,498,4
53,50,3
23,344,5
58,165,2
67,73,1
38,934,4
19,53,5
21,592,5
71,166,4
63,1222,4
58,631,4
42,214,5
21,386,3
1,1250,2
5,295,1
61,476,4
7,228,5
79,90,3
44,479,3
68,1170,1
79,479,2
61,5,3
60,831,5
74,241,3
30,906,1
74,781,2
92,302,2
45,900,3
13,859,2
4,441,5
14,72,4
40,265,5
21,195,4
4,1483,2
25,663,4
7,232,2
70,530,3
56,415,3
29,1663,5
35,403,4
28,217,5
96,827,2
89,1276,3
54,38,5
30,879,4
18,485,2
7,160,2
41,181,1
9,166,2
3,292,4
28,341,5
64,900,5
25,825,5
6,523,4
25,1,2
93,663,3
37,402,3
21,427,3
47,443,2
93,559,5
11,596,1
10,1475,3
67,1295,5
16,941,1
68,680,4
67,577,5
80,588,4
12,1269,4
80,136,3
92,64,3
3,190,4
21,1644,5
43,199,5
28,806,5
19,127,2
56,780,2
72,726,3
79,541,5
33,763,3
56,89,3
45,272,4
51,627,4
60,332,3
28,221,2
10,573,4
56,167,2
16,282,1
12,809,2
44,642,4
60,915,4
78,25,4
38,671,1
26,519,4
14,141,4
25,1248,4
28,1386,5
40,402,2
59,554,4
33,683,2
69,307,2
88,1644,3
14,1371,4
75,83,2
29,475,4
69,1371,4
7,1244,4
18,932,5
8,220,4
2,790,3
89,794,3
6,1045,5
14,342,4
40,245,4
38,2,3
27,200,1
41,433,5
7,539,4
70,1193,3
82,563,2
74,765,3
26,181,5
95,319,3
88,141,2
21,1513,1
68,307,1
96,820,5
2,309,3
95,294,4
96,200,5
48,497,5
15,586,4
6,245,3
16,771,5
61,293,4
